=== UNIT 1 - GREETINGS AND INTRODUCTION ===

<1> Greetings (인사 | Chào hỏi)
인사 | lời chào | greetings
한국 | Hàn Quốc | Korea
미국 | Mỹ | the US
브라질 | Brazil | Brazil
일본 | Nhật Bản | Japan
중국 | Trung Quốc | China
호주 | Úc | Australia
프랑스 | Pháp | France
안녕하십니까 | Xin chào | hello
저¹ | tôi | I
영국 | Anh | the UK
사람 | người | person
제 | của tôi | my
이름 | tên | name
국적 | quốc tịch | nationality
네 | vâng | yes
베트남 | Việt Nam | Vietnam
러시아 | Nga | Russia
카나다 | Canada | Canada
케냐 | Kenya | Kenya
노르웨이 | Na Uy | Norway

<2> Jobs (직업 | Nghề nghiệp)
간호사 | y tá | nurse
배우 | diễn viên | actor
교수 | giáo sư | professor
경찰 | cảnh sát | police
씨 | ông / bà / anh / chị | Mr. / Ms.
친구 | bạn bè | friend
기자 | phóng viên | journalist
가수 | ca sĩ | singer
직업 | nghề nghiệp | job
무엇 | cái gì | what
회사원 | nhân viên công ty | office worker
대학생 | sinh viên đại học | college student
은행원 | nhân viên ngân hàng | bank teller
요리사 | đầu bếp | chef
의사 | bác sĩ | doctor
독일 | Đức | Germany
어느 | cái nào | which
아니요 | không | no

=== UNIT 2 - OBJECTS ===

<1> Classroom Objects (교실 물건 | Đồ vật trong lớp học)
교실 | lớp học | classroom
물건 | đồ vật | things
시계 | đồng hồ | clock
달력 | lịch | calender
그림 | tranh | picture
우리 | chúng tôi / chúng ta | our / we / us
이것 | cái này | this (thing)
저것 | cái kia | that (thing)
저² | kia | that
지우개 | cục tẩy | eraser
지도 | bản đồ | map
칠판 | bảng đen | blackboard
의자 | ghế | chair
컴퓨터 | máy tính | computer
옷걸이 | móc treo quần áo | clothes hanger
그것 | cái đó | that (thing)
책상 | bàn học | desk

<2> My Belongings (내 소지품 | Đồ dùng cá nhân)
연필 | bút chì | pencil
가방 | túi xách | bag
지갑 | ví | wallet
휴대전화 | điện thoại di động | cell phone
휴지 | khăn giấy | tissue
안경 | kính mắt | glasses
있다 | có | to have
돈 | tiền | money
볼펜 | bút bi | pen
우산 | ô / dù | umbrella
없다 | không có | to not have
텔레비전 | tivi | television
과자 | bánh kẹo | cookie
주스 | nước ép | juice
물 | nước | water
